epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.00004,2.22455,3.86418,1.88743,0.00333,1,0.09511,0.02782,1.65513,3.14113,1.73334,8e-05,8e-05,8e-05
2,5.33552,1.32449,3.22115,1.35252,0.00333,1,0.82825,0.60755,0.99339,2.62804,0.95676,0.000178218,0.000178218,0.000178218
3,7.74454,0.65169,2.33533,0.91345,0.00333,1,0.995,0.74063,0.79325,2.45895,0.88489,0.000274456,0.000274456,0.000274456
4,10.1385,0.60057,1.76831,0.89816,0.00333,1,0.995,0.8814,0.50537,2.23472,0.82843,0.000368714,0.000368714,0.000368714
5,12.535,0.59961,1.37173,0.91834,0.95469,1,0.995,0.65433,1.13854,2.02981,0.91939,0.000460992,0.000460992,0.000460992
6,14.8528,0.59316,1.14701,0.90744,0.98352,1,0.995,0.6902,1.14492,1.88411,0.94569,0.00055129,0.00055129,0.00055129
7,17.1345,0.54633,1.07663,0.89014,0.98436,1,0.995,0.77857,0.68996,1.87964,0.86318,0.000639608,0.000639608,0.000639608
8,19.4736,0.52036,0.97232,0.90645,1,0.5382,0.995,0.85063,0.54636,2.14918,0.88023,0.000725946,0.000725946,0.000725946
9,21.8969,0.52819,0.91477,0.88583,1,0.64943,0.995,0.74028,0.8227,2.25083,0.87661,0.000810304,0.000810304,0.000810304
10,24.3307,0.53862,0.9058,0.88555,1,0.83899,0.995,0.8896,0.46033,1.92691,0.85108,0.000892682,0.000892682,0.000892682
11,26.8168,0.51689,0.88308,0.8675,0.9906,1,0.995,0.81803,0.7628,1.34463,0.88077,0.00097308,0.00097308,0.00097308
12,28.9822,0.48191,0.84262,0.87183,0.99533,1,0.995,0.83143,0.70177,1.12434,0.85103,0.0010515,0.0010515,0.0010515
13,31.3831,0.53296,0.89053,0.90766,0.99513,1,0.995,0.7259,0.88883,1.30833,0.89773,0.00112794,0.00112794,0.00112794
14,33.8129,0.53081,0.85886,0.87899,0.99335,1,0.995,0.82393,0.72344,1.31538,0.89032,0.00120239,0.00120239,0.00120239
15,36.0888,0.55545,0.85704,0.8775,0.99378,1,0.995,0.78429,0.82383,1.35801,0.89012,0.00127487,0.00127487,0.00127487
16,38.3142,0.53565,0.82469,0.88958,0.9953,1,0.995,0.85016,0.64276,1.16191,0.84461,0.00134537,0.00134537,0.00134537
17,40.6539,0.50627,0.80705,0.86448,0.99573,1,0.995,0.82978,0.54401,0.96718,0.84416,0.00141389,0.00141389,0.00141389
18,42.6941,0.51669,0.81461,0.87957,0.99606,1,0.995,0.85301,0.68401,1.00678,0.8359,0.00148043,0.00148043,0.00148043
19,44.8383,0.49829,0.75149,0.87686,0.99642,1,0.995,0.86144,0.67376,0.9791,0.83818,0.00154498,0.00154498,0.00154498
20,46.8784,0.53607,0.79313,0.88887,0.99687,1,0.995,0.78913,0.75523,0.75598,0.82802,0.00160756,0.00160756,0.00160756
21,49.0501,0.46653,0.72639,0.87019,0.99691,1,0.995,0.8548,0.64858,0.72943,0.83882,0.001604,0.001604,0.001604
22,51.0746,0.46156,0.69287,0.87668,0.9959,1,0.995,0.86598,0.64862,0.73238,0.83248,0.0015842,0.0015842,0.0015842
23,53.1244,0.49798,0.69082,0.86504,0.9966,1,0.995,0.86457,0.58268,0.57058,0.85978,0.0015644,0.0015644,0.0015644
